,City Name,Lat,Lon,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bathsheba,13.2167,-59.5167,78.8,65,40,21.85,BB,1614397309
1,Punta Arenas,-53.15,-70.9167,48.2,87,0,8.05,CL,1614397310
2,Atuona,-9.8,-139.0333,79.86,80,81,14.29,PF,1614397311
3,Bandarbeyla,9.4942,50.8122,76.08,79,58,13.58,SO,1614397313
4,Hilo,19.7297,-155.09,77.0,65,90,8.05,US,1614397071
5,Butaritari,3.0707,172.7902,81.59,79,67,19.77,KI,1614397315
6,Lebu,-37.6167,-73.65,56.79,86,7,17.74,CL,1614397220
7,Hithadhoo,-0.6,73.0833,82.17,71,75,11.63,MV,1614397318
8,Port Shepstone,-30.7414,30.455,66.88,80,42,5.01,ZA,1614397319
9,Esperance,-33.8667,121.9,73.4,53,90,13.8,AU,1614397320
10,Jamestown,42.097,-79.2353,35.01,94,1,13.8,US,1614397256
11,Touros,-5.1989,-35.4608,73.4,94,40,4.61,BR,1614397323
12,Longyearbyen,78.2186,15.6401,15.8,67,75,10.36,SJ,1614397324
13,Avarua,-21.2078,-159.775,84.2,79,75,20.71,CK,1614397325
14,Puerto Ayora,-0.7393,-90.3518,79.0,92,11,4.0,EC,1614397326
15,Rikitea,-23.1203,-134.9692,78.03,82,80,24.56,PF,1614397328
16,Vaitape,-16.5167,-151.75,83.12,68,6,10.47,PF,1614397329
17,Iqaluit,63.7506,-68.5145,-20.0,69,75,1.7,CA,1614397330
18,Barra Patuca,15.8,-84.2833,77.85,76,12,13.2,HN,1614397332
19,Moyale,3.5167,39.0584,64.76,54,0,0.25,KE,1614397333
20,Vaini,-21.2,-175.2,80.6,69,75,4.61,TO,1614397334
21,Saskylakh,71.9167,114.0833,-18.65,79,92,2.15,RU,1614397336
22,Bredasdorp,-34.5322,20.0403,53.6,94,10,2.3,ZA,1614397337
23,Melivoia,39.75,22.8,39.2,93,0,3.06,GR,1614397338
24,Albany,42.6001,-73.9662,30.0,63,92,4.47,US,1614397058
25,Sakakah,29.9697,40.2064,46.4,42,0,4.79,SA,1614397341
26,Provideniya,64.3833,-173.3,-12.57,80,0,10.51,RU,1614397342
27,Ushuaia,-54.8,-68.3,53.6,71,20,6.91,AR,1614397147
28,Tevriz,57.509,72.4042,-18.81,97,13,2.93,RU,1614397345
29,Pedernales,18.0384,-71.744,75.6,62,0,5.7,DO,1614397346
30,Dikson,73.5069,80.5464,-14.58,94,98,14.9,RU,1614397347
31,Hong Kong,22.2855,114.1577,66.99,88,98,1.99,HK,1614397119
32,Saint Anthony,45.0205,-93.218,35.6,80,40,9.22,US,1614397349
33,Khani,41.9563,42.9566,28.4,100,0,5.75,GE,1614397351
